periodo,cantidad,monto_neto,categoria
2025-03-03,4.0,57109.24,Aislación
2025-03-10,15.0,214159.65999999997,Aislación
2025-03-17,0.0,0.0,Aislación
2025-03-24,2.0,28554.62,Aislación
2025-03-31,68.0,970857.1499999999,Aislación
2025-04-07,2.0,28554.62,Aislación
2025-04-14,3.0,42831.93,Aislación
2025-04-21,1.0,14277.31,Aislación
2025-04-28,0.0,0.0,Aislación
2025-05-05,23.0,328378.15,Aislación
2025-05-12,55.0,785252.0999999999,Aislación
2025-05-19,105.0,1499117.6400000001,Aislación
2025-05-26,18.0,256991.6,Aislación
2025-06-02,20.0,285546.22,Aislación
2025-06-09,75.0,1070798.32,Aislación
2025-06-16,0.0,0.0,Aislación
2025-06-23,0.0,0.0,Aislación
2025-06-30,0.0,0.0,Aislación
2025-07-07,0.0,0.0,Aislación
2025-07-14,0.0,0.0,Aislación
2025-07-21,0.0,0.0,Aislación
2025-07-28,0.0,0.0,Aislación
2025-08-04,0.0,0.0,Aislación
2025-08-11,0.0,0.0,Aislación
2025-08-18,0.0,0.0,Aislación
2025-08-25,0.0,0.0,Aislación
2025-09-01,0.0,0.0,Aislación
2025-09-08,0.0,0.0,Aislación
2025-09-15,0.0,0.0,Aislación
2025-09-22,0.0,0.0,Aislación
2025-09-29,0.0,0.0,Aislación
2025-10-06,0.0,0.0,Aislación
2025-10-13,0.0,0.0,Aislación
2025-10-20,0.0,0.0,Aislación
2025-10-27,0.0,0.0,Aislación
2025-11-03,0.0,0.0,Aislación
2025-11-10,0.0,0.0,Aislación
2025-11-17,0.0,0.0,Aislación
2025-11-24,0.0,0.0,Aislación
2025-12-01,0.0,0.0,Aislación
2025-12-08,0.0,0.0,Aislación
2025-12-15,0.0,0.0,Aislación
2025-12-22,0.0,0.0,Aislación
2025-12-29,0.0,0.0,Aislación
2026-01-05,0.0,0.0,Aislación
2026-01-12,0.0,0.0,Aislación
2026-01-19,0.0,0.0,Aislación
2026-01-26,0.0,0.0,Aislación
2026-02-02,0.0,0.0,Aislación
2026-02-09,0.0,0.0,Aislación
2026-02-16,0.0,0.0,Aislación
2026-02-23,0.0,0.0,Aislación
2026-03-02,0.0,0.0,Aislación
2026-03-09,0.0,0.0,Aislación
2026-03-16,0.0,0.0,Aislación
2026-03-23,0.0,0.0,Aislación
2026-03-30,0.0,0.0,Aislación
2026-04-06,0.0,0.0,Aislación
2026-04-13,0.0,0.0,Aislación
2026-04-20,0.0,0.0,Aislación
2026-04-27,0.0,0.0,Aislación
2026-05-04,0.0,0.0,Aislación
2026-05-11,0.0,0.0,Aislación
2026-05-18,0.0,0.0,Aislación
2026-05-25,0.0,0.0,Aislación
2026-06-01,0.0,0.0,Aislación
2026-06-08,0.0,0.0,Aislación
2026-06-15,0.0,0.0,Aislación
2026-06-22,0.0,0.0,Aislación
2026-06-29,0.0,0.0,Aislación
2026-07-06,0.0,0.0,Aislación
2022-06-06,25.0,75420.17,Maderas
2022-06-13,0.0,0.0,Maderas
2022-06-20,0.0,0.0,Maderas
2022-06-27,0.0,0.0,Maderas
2022-07-04,14.0,42235.29,Maderas
2022-07-11,71.0,214193.28,Maderas
2022-07-18,0.0,0.0,Maderas
2022-07-25,6.0,18100.84,Maderas
2022-08-01,0.0,0.0,Maderas
2022-08-08,17.0,51285.71,Maderas
2022-08-15,0.0,0.0,Maderas
2022-08-22,4.0,12067.23,Maderas
2022-08-29,0.0,0.0,Maderas
2022-09-05,0.0,0.0,Maderas
2022-09-12,70.0,211176.47,Maderas
2022-09-19,0.0,0.0,Maderas
2022-09-26,64.0,275428.57,Maderas
2022-10-03,19.0,57319.33,Maderas
2022-10-10,15.0,45252.1,Maderas
2022-10-17,0.0,0.0,Maderas
2022-10-24,6.0,24823.53,Maderas
2022-10-31,0.0,0.0,Maderas
2022-11-07,10.0,30168.07,Maderas
2022-11-14,0.0,0.0,Maderas
2022-11-21,3.0,9050.42,Maderas
2022-11-28,16.0,58352.94,Maderas
2022-12-05,0.0,0.0,Maderas
2022-12-12,1.0,4697.48,Maderas
2022-12-19,0.0,0.0,Maderas
2022-12-26,0.0,0.0,Maderas
2023-01-02,120.0,362016.8,Maderas
2023-01-09,14.0,65764.71,Maderas
2023-01-16,0.0,0.0,Maderas
2023-01-23,11.0,51672.27,Maderas
2023-01-30,0.0,0.0,Maderas
2023-02-06,5.0,15084.029999999999,Maderas
2023-02-13,96.0,444235.3,Maderas
2023-02-20,7.0,32882.35,Maderas
2023-02-27,0.0,0.0,Maderas
2023-03-06,3.0,9050.42,Maderas
2023-03-13,13.0,39218.49,Maderas
2023-03-20,2.0,6033.61,Maderas
2023-03-27,0.0,0.0,Maderas
2023-04-03,0.0,0.0,Maderas
2023-04-10,3.0,9050.42,Maderas
2023-04-17,0.0,0.0,Maderas
2023-04-24,0.0,0.0,Maderas
2023-05-01,0.0,0.0,Maderas
2023-05-08,3.0,10731.09,Maderas
2023-05-15,14.0,42235.29,Maderas
2023-05-22,6.0,18100.84,Maderas
2023-05-29,107.0,348008.39999999997,Maderas
2023-06-05,3.0,14092.44,Maderas
2023-06-12,0.0,0.0,Maderas
2023-06-19,0.0,0.0,Maderas
2023-06-26,2.0,6033.61,Maderas
2023-07-03,0.0,0.0,Maderas
2023-07-10,0.0,0.0,Maderas
2023-07-17,0.0,0.0,Maderas
2023-07-24,4.0,12067.23,Maderas
2023-07-31,0.0,0.0,Maderas
2023-08-07,0.0,0.0,Maderas
2023-08-14,0.0,0.0,Maderas
2023-08-21,0.0,0.0,Maderas
2023-08-28,5.0,16764.699999999997,Maderas
2023-09-04,0.0,0.0,Maderas
2023-09-11,0.0,0.0,Maderas
2023-09-18,0.0,0.0,Maderas
2023-09-25,4.0,15428.57,Maderas
2023-10-02,52.0,177042.02,Maderas
2023-10-09,15.0,45252.1,Maderas
2023-10-16,0.0,0.0,Maderas
2023-10-23,1.0,4697.48,Maderas
2023-10-30,0.0,0.0,Maderas
2023-11-06,0.0,0.0,Maderas
2023-11-13,3.0,9050.42,Maderas
2023-11-20,0.0,0.0,Maderas
2023-11-27,56.0,263058.82,Maderas
2023-12-04,5.0,15084.03,Maderas
2023-12-11,0.0,0.0,Maderas
2023-12-18,0.0,0.0,Maderas
2023-12-25,0.0,0.0,Maderas
2024-01-01,0.0,0.0,Maderas
2024-01-08,0.0,0.0,Maderas
2024-01-15,6.0,18100.84,Maderas
2024-01-22,2.0,9394.96,Maderas
2024-01-29,0.0,0.0,Maderas
2024-02-05,8.0,24134.45,Maderas
2024-02-12,12.0,36201.68,Maderas
2024-02-19,1.0,3016.81,Maderas
2024-02-26,0.0,0.0,Maderas
2024-03-04,13.0,61067.23,Maderas
2024-03-11,0.0,0.0,Maderas
2024-03-18,0.0,0.0,Maderas
2024-03-25,7.0,21117.65,Maderas
2024-04-01,0.0,0.0,Maderas
2024-04-08,0.0,0.0,Maderas
2024-04-15,0.0,0.0,Maderas
2024-04-22,0.0,0.0,Maderas
2024-04-29,0.0,0.0,Maderas
2024-05-06,0.0,0.0,Maderas
2024-05-13,0.0,0.0,Maderas
2024-05-20,1.0,3016.81,Maderas
2024-05-27,3.0,10731.09,Maderas
2024-06-03,0.0,0.0,Maderas
2024-06-10,0.0,0.0,Maderas
2024-06-17,0.0,0.0,Maderas
2024-06-24,0.0,0.0,Maderas
2024-07-01,8.0,24134.46,Maderas
2024-07-08,0.0,0.0,Maderas
2024-07-15,3.0,9050.42,Maderas
2024-07-22,1.0,3016.81,Maderas
